DATAFLOW,LAST UPDATE,freq,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DE,2016,7443.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DE,2017,7978.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DE,2018,8473.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DE,2019,9156.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DE,2020,10094.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2012,10030.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2013,10152.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2014,10079.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2016,9580.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2017,9991.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2018,10095.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2019,10739.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,DK,2020,11073.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2012,1159.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2013,993.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2014,2666.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2015,3024.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2016,3300.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2017,3664.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2018,4139.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2019,4752.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,EE,2020,5010.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2012,3507.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2013,3386.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2014,3426.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2015,3579.7,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,ES,2016,3648.8,
